Coluna,Legendas
ano,"2018, 2019, 2020, 2021, 2022"
sigla_uf,"AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO"
nome_uf,"Acre, Alagoas, Amazonas, Amapá, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Minas Gerais, Mato Grosso do Sul, Mato Grosso, Pará, Paraíba, Pernambuco, Piauí, Paraná, Rio de Janeiro, Rio Grande do Norte, Rondônia, Roraima, Rio Grande do Sul, Santa Catarina, Sergipe, São Paulo, Tocantins"
id_municipio,"1200401, 2704302, 1302603, 1600303, 2927408, 2304400, 5300108, 3205309, 5208707, 2111300, 3106200, 5002704, 5103403, 1501402, 2507507, 2611606, 2211001, 4106902, 3304557, 2408102, 1100205, 1400100, 4314902, 4205407, 2800308, 3550308, 1721000"
nome_municipio,"Rio Branco, Maceió, Manaus, Macapá, Salvador, Fortaleza, Brasília, Vitória, Goiânia, São Luís, Belo Horizonte, Campo Grande, Cuiabá, Belém, João Pessoa, Recife, Teresina, Curitiba, Rio de Janeiro, Natal, Porto Velho, Boa Vista, Porto Alegre, Florianópolis, Aracaju, São Paulo, Palmas"
nome_regiao,"Norte, Nordeste, Centro-Oeste, Sudeste, Sul"
