ano,porte_empresa,acessos
2018,Grande Porte,1142422.0
2018,Pequeno Porte,319727.0
2019,Grande Porte,1778776.0
2019,Pequeno Porte,606334.0
2020,Grande Porte,2995259.0
2020,Pequeno Porte,1173380.0
